index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
856,R_to_P,bosque83,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,33075,72,293.16177299599997,61.62820536643267,47.05096514200002,52.215023442637175,8.388356862000006,18.00129833,18.00170718319714,0.22328205034136772,36.977458751,36.97784017305821,recovered
856,P_to_R,bosque84,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,71372,74,603.5626431180001,130.26622456964105,111.51421945099995,130.28419558890164,18.62100043099999,39.493558246,39.50248036533594,0.3439505398273468,81.469085227,81.48436015751213,recovered
857,R_to_P,bosque84,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,11802,76,95.90948952299999,15.364926020614803,7.947373015999996,10.97158089466393,1.5467754609999993,4.644650306999999,4.6449289340525866,0.09198538586497307,11.787931733999999,11.78848591633141,recovered
857,P_to_R,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,8163,76,85.828736203,17.05730032362044,9.156119600999997,13.316925176419318,1.7624421959999994,4.30462962,4.305062245577574,0.06425090786069632,9.278045061,9.279341839253902,recovered
858,R_to_P,bosque35,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,12267,63,102.590578499,21.293414016254246,15.307130489999995,20.58491125330329,2.8541180109999997,6.566728084999999,6.566859650425613,0.2699396423995495,12.448824006000002,12.449160926043987,recovered
858,P_to_R,bosque70,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,62630,66,624.982872,161.28102322481573,142.04830482900002,162.5258193463087,24.632410171000004,43.557316583,43.558196963742375,0.5851252609863877,73.22062403000001,73.22428609989583,recovered
859,R_to_P,bosque70,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,5273,60,45.18100800299999,14.186756412498653,7.482820692000002,8.379616382531822,1.763201305,2.184522353,2.1846525371074677,0.016619197092950344,5.149290595,5.149572621099651,recovered
859,P_to_R,bosque70,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,47612,65,617.1485198380001,141.47193380258977,119.91004481899995,126.86846522055566,20.547986342999998,34.26699339700001,34.26811414863914,0.23364780377596617,56.241006808,56.24239803291857,recovered
860,R_to_P,bosque70,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,722,38,5.492320722,1.3924886817112565,0.4061688590000001,0.696846722625196,0.123627419,0.1669141110000001,0.166933448985219,0.37849599216133356,0.36368661300000005,0.3637147983536124,recovered
860,P_to_R,bosque75,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,26376,40,104.32584493300001,25.80703471507877,19.260355745000002,20.752593299373984,3.737598322000001,6.409051308,6.410249408334494,0.11398527398705482,15.055031987,15.057129305787385,recovered
861,R_to_P,bosque74,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,10995,44,29.783837959000003,5.571858086623251,3.260049288,3.7627248633652925,0.7044347530000002,2.166081934,2.166251603513956,0.07364522945135832,5.950035726,5.950554975308478,recovered
861,P_to_R,bosque74,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,12839,45,40.270890424,7.9673432586714625,4.741515837000001,5.202379767782986,0.9967517389999999,3.198887313,3.1990081341937184,0.2427773317322135,7.268895653,7.269378216005862,recovered
862,R_to_P,bosque76,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,26885,124,804.8222606929999,150.07707825303078,92.31554158400007,108.55194129794836,16.351078723000008,29.695573032,29.69654126558453,0.2187425596639514,61.40432940400001,61.40717787947506,recovered
862,P_to_R,bosque84,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,25881,127,624.136550492,87.48659889213741,50.925195473999985,66.43639176338911,8.721242034000001,22.330591746,22.331270152702928,0.40085676591843367,52.891433037,52.89396504685283,recovered
863,R_to_P,bosque48,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,1725,72,30.247681109999995,5.1490351050160825,1.6955575070000009,2.1730425460264087,0.351589383,0.6626069019999998,0.6626775851473212,0.15113350376486778,1.738796268,1.738911036401987,recovered
863,P_to_R,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,3132,72,33.53452503999999,5.222887608222663,2.145335392,3.6827078349888325,0.40986756799999996,1.0839775219999999,1.084089799784124,0.019979153759777546,2.989901661,2.990303622558713,recovered
864,R_to_P,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,1392,40,10.917485260000001,3.247909157536924,1.3441169960000003,1.9603350469842553,0.368220744,0.2889795260000001,0.28901288006454706,0.04526887368410826,0.9492890800000002,0.9493723781779408,recovered
864,P_to_R,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,2314,42,11.234444391999999,4.128491321578622,1.2813168090000002,8.637673892080784,0.33110879899999995,0.509581415,0.5096017075702548,0.018314026296138763,1.2802965410000002,1.280386365018785,recovered
865,R_to_P,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,25719,66,91.419749884,16.32903944235295,10.078873212000001,12.528658214956522,1.8161829040000004,8.300902043,8.301271653734148,0.15651184413582087,222.94856886699998,222.92856967449188,unknown
865,P_to_R,bosque79,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,20183,69,129.31801472700002,19.941873650997877,12.437354921,15.718354191631079,2.2903173520000033,8.939058165,8.939393445849419,0.32605544850230217,131.34481370999998,131.32036060094833,recovered
